"Chilton, AL",42971,37.6,10960,15271,5745,2776,42272,11,385,22,2968,21,7,93,47,163,26,9,49,25,38,1,65,864,19067,9.4,395,0,269,823,54,30150,7617,88,145,15302,16068,16.6,3420,12092,1749,1254,1185,977,1137,1067,884,779,865,1473,1382,1676,825,375,329,219,13636,2152,38916,18.7,43643,4050,63,21608,22035,35395,4230,155,130,0.493,0.218,0.134,0.108,0.02
"Choctaw, AL",13990,43.4,3141,4107,2442,1719,14229,5,215,1,200,24,2,17,6,61,13,5,14,7,19,2,27,0,4986,11.4,0,0,11,10,2,44691,1886,0,36,4914,5492,14.7,73,3873,816,646,611,354,410,397,347,340,189,496,436,482,123,55,37,41,13551,720,31067,22.8,13859,-2063,15.2,6688,7171,7700,6012,18,12,0.499,0.21,0.147,0.079,0.032
"Clarke, AL",26042,40.2,6389,8160,4145,1641,26438,18,550,5,753,33,8,41,31,141,30,15,59,18,27,7,53,151,10057,15.8,35,0,40,196,11,31541,5013,48,72,8720,9854,16,271,7204,1826,770,851,809,854,318,363,325,258,582,537,711,542,227,126,160,12718,1235,32729,29.1,25833,-2034,20.9,12214,13619,13943,11336,103,77,0.502,0.193,0.175,0.089,0.027
"Clay, AL",13640,42,3144,4399,2500,2344,13769,5,195,2,295,15,3,23,10,41,13,1,11,9,10,3,23,0,5356,13.9,13,0,59,87,7,30037,2130,48,19,5111,5495,16,399,3978,596,402,436,506,437,407,351,432,219,469,634,553,241,35,30,26,13447,482,34831,19.2,13932,-322,23.1,6833,7099,11186,2066,55,24,0.476,0.207,0.125,0.122,0.031
"Cleburne, AL",14759,40.6,3551,4860,2239,3076,14579,6,189,8,1322,8,1,27,10,48,8,0,9,6,8,0,11,0,6292,8.4,46,1,98,204,34,35697,2657,14,97,5571,5398,15.2,307,4196,617,562,395,343,457,343,367,216,141,350,546,625,94,73,54,96,12845,494,37870,17,14972,849,26.7,7453,7519,13956,498,51,23,0.483,0.211,0.136,0.1,0.024
"Coffee, AL",48635,37.6,12084,17817,6937,2171,46802,15,614,239,21530,12,5,99,33,211,24,19,74,61,71,12,105,2912,21319,7.3,123,1,180,329,33,29088,9127,119,136,16399,17495,15.7,3180,13837,1724,1485,1269,1063,1140,1303,1130,835,805,1481,1908,1996,1331,591,488,301,13728,1787,43296,15.7,49948,6333,73.6,24684,25264,36134,8359,645,644,0.414,0.233,0.155,0.132,0.036
"Colbert, AL",54639,41.8,12034,17442,9168,2158,54546,19,731,88,10083,4,2,102,107,235,42,14,98,32,95,7,137,2111,25085,9.7,343,2,507,1576,80,39717,8468,118,183,19275,21670,14,1093,15442,2166,1959,1915,1379,1322,1522,1383,1224,884,2043,2036,2728,1149,451,383,337,15260,2039,37111,16,54428,-556,91.8,26159,28269,43334,8768,267,229,0.474,0.197,0.177,0.109,0.031
"Conecuh, AL",12931,43,3042,3849,2296,1834,13114,3,119,1,85,22,2,12,12,43,19,4,9,7,7,1,25,0,4577,16.3,27,1,70,139,11,30634,1662,20,43,4583,5020,13.2,161,3717,875,714,501,474,311,416,158,197,195,402,359,471,146,75,30,77,12062,901,26882,27.5,13228,-861,15.6,6412,6816,6764,6149,44,17,0.59,0.16,0.108,0.105,0.013
"Coosa, AL",10556,44.2,2370,3534,1833,2087,10777,2,17,0,0,5,2,13,8,21,4,1,4,7,5,0,6,0,4328,13.1,24,0,103,160,5,30112,1349,0,2,4233,4142,15.4,230,3293,571,477,227,391,366,309,236,247,267,226,372,499,189,108,6,37,13131,466,34795,16.7,11539,-663,17.7,5727,5812,7604,3582,40,16,0.553,0.195,0.108,0.09,0.03
"Covington, AL",36678,42.4,8523,11568,6882,2241,36688,15,764,12,2129,11,3,97,36,184,33,8,61,39,68,3,96,0,16235,9.1,94,2,169,607,27,31621,6165,34,86,13293,14308,14.8,483,10539,1785,1448,1182,1216,943,1109,659,800,517,1242,1469,1037,567,245,309,123,13541,2241,32179,22.5,37765,134,36.6,18288,19477,31751,4716,214,155,0.481,0.185,0.133,0.133,0.034
"Crenshaw, AL",13781,40.7,3308,4393,2226,2131,13687,5,195,1,90,21,1,26,12,46,20,0,13,9,15,1,16,0,6489,8.7,25,1,73,167,21,36209,2487,86,75,4683,5338,17.3,204,3882,984,559,541,394,365,395,268,224,220,535,398,535,146,112,61,120,12404,978,31849,20.6,13906,241,22.8,6714,7192,10020,3254,57,189,0.545,0.219,0.104,0.091,0.026
"Cullman, AL",81778,39.9,18641,26848,12760,3719,80630,37,1479,24,2822,15,5,193,124,328,89,20,114,55,115,9,185,1236,37808,8.8,151,1,373,939,73,30107,12805,208,179,29345,29939,16,3454,22487,3309,2470,2303,2085,2233,1855,1833,1419,1396,2819,3108,2827,1456,817,628,435,14463,2642,37425,19.3,80406,2923,109.4,39719,40687,74568,856,408,343,0.506,0.203,0.135,0.11,0.027
"Dale, AL",48147,36.1,12477,18120,6271,2110,48233,13,363,136,8189,13,7,79,32,142,36,12,49,34,107,12,67,850,19916,8.5,177,0,327,851,74,55214,6585,74,174,16964,17589,14.5,2821,13721,1823,1300,1503,1114,1220,1179,975,1338,1039,1816,1883,2072,1105,426,256,208,12407,2430,41279,16.2,50251,1122,89.6,24825,25426,35705,9679,371,534,0.453,0.219,0.13,0.125,0.036
"Dallas, AL",41925,37.7,11595,14028,6211,1649,42748,12,504,36,2900,13,5,56,42,185,13,10,45,32,48,7,109,0,15020,17.3,339,5,746,1714,257,32677,8198,15,170,13001,16324,11.4,309,11440,3532,1789,1638,1200,1198,1026,834,664,519,957,1208,1265,659,267,177,144,12314,3871,27088,35,43820,-2545,44.8,20244,23576,12676,30423,85,149,0.597,0.207,0.087,0.053,0.026
"Elmore, AL",79233,37.8,18707,29449,9576,2606,76714,22,726,128,15564,10,14,170,60,215,17,14,73,46,93,4,111,10567,35819,8.4,144,2,495,1463,66,30208,12835,347,231,28156,26913,15.1,2129,21003,1717,1268,1168,1489,1273,1641,1096,1371,1052,2563,2938,3567,1860,1195,734,485,14683,2034,50194,14.2,79303,13429,128.2,38689,40614,59449,15900,285,518,0.478,0.182,0.148,0.134,0.036
"Escambia, AL",37434,39.2,8679,13514,5678,2107,37561,18,694,7,460,19,8,76,39,186,25,26,58,21,44,2,71,0,14386,11.1,187,3,221,828,58,35389,5874,53,185,14582,13471,15.1,718,9705,2139,1173,1253,1114,785,1187,666,737,673,1003,1368,1086,613,168,127,130,13198,2712,31443,22,38319,-121,40.5,19766,18553,23508,12220,1288,92,0.493,0.18,0.171,0.102,0.034
"Etowah, AL",103645,40.2,23986,34895,16769,3009,103150,29,1140,105,12408,7,7,149,108,412,47,32,152,66,144,13,302,3756,44377,9.4,374,4,747,2529,200,33578,16285,238,398,35808,40125,13.7,3447,28708,4330,3427,3609,3197,3003,3108,2557,2362,1899,3043,3679,4108,2247,1100,542,476,14217,3955,38575,17.2,104430,971,195.2,50626,53804,82789,15796,448,672,0.461,0.207,0.168,0.112,0.033
"Fayette, AL",17371,42.5,3837,5338,3013,1700,17651,6,268,3,220,16,2,27,21,57,21,6,17,6,17,2,55,0,6638,11.8,25,1,72,217,33,27020,2512,4,8,6338,6982,13.3,204,4916,920,775,395,489,494,580,508,373,453,863,470,613,237,139,78,27,13426,996,34262,19.6,17241,-1254,27.5,8507,8734,14832,1969,52,37,0.499,0.21,0.133,0.098,0.025
"Franklin, AL",31091,37.8,7867,11002,4660,2112,30847,18,510,12,1478,12,3,35,48,120,23,9,53,20,28,0,69,0,13080,10.1,64,1,123,381,32,32007,5745,131,101,11327,11640,17.3,4710,8741,1393,1216,979,1136,845,871,662,597,665,959,1137,1073,304,237,152,146,13756,1703,32588,21.8,31704,481,50,15828,15876,25249,1228,215,63,0.515,0.213,0.134,0.093,0.026
"Geneva, AL",25961,42,5991,8464,4546,2066,25800,7,474,18,2639,6,5,66,21,99,30,0,24,13,25,1,37,0,10846,9,59,0,165,300,47,25626,3962,0,82,9540,9969,14.6,920,7617,1461,917,1047,838,799,628,687,477,451,716,937,797,393,129,74,59,13684,1247,31347,19.4,26790,1026,46.6,13105,13685,22692,2539,224,67,0.486,0.237,0.13,0.093,0.023
"Greene, AL",8829,41.8,2194,2650,1359,1546,9112,2,51,3,313,5,2,12,5,28,5,2,5,0,5,2,10,0,3223,16.9,98,0,130,159,21,30550,1427,0,99,2898,3449,12.6,69,2372,807,312,473,365,121,120,306,109,69,380,245,216,102,31,24,12,10935,1054,26131,28.4,9045,-929,14,4271,4774,1562,7370,17,15,0.538,0.216,0.121,0.07,0.037
"Hale, AL",17975,40,3915,4864,2424,1829,17994,3,235,22,2419,8,2,25,12,45,19,3,8,6,8,3,15,0,6767,12.1,76,2,105,148,44,28922,3011,0,67,6597,6204,13.8,140,4245,1092,724,459,460,407,343,438,372,189,422,644,420,171,94,10,18,11684,1144,30124,26.6,15760,-1425,24.5,7466,8294,6213,9301,25,35,0.521,0.25,0.117,0.078,0.021
"Henry, AL",16647,42.8,3918,5196,2807,1816,16580,9,240,42,5714,13,4,26,16,54,22,2,22,10,20,2,24,0,6924,9.4,57,1,111,268,20,31014,2765,14,11,5871,6349,17.2,389,4975,702,831,520,220,381,431,436,321,297,434,390,764,360,106,88,31,14344,722,35215,18.7,17302,992,30.8,8302,9000,11731,4942,57,54,0.468,0.223,0.143,0.115,0.028
"Houston, AL",100085,38.5,24926,34554,15808,2125,97091,38,2131,261,45048,2,9,244,122,568,90,39,202,108,241,22,326,5526,45010,8.4,432,3,965,2879,206,36885,15445,203,438,33017,37351,13.8,2995,28041,3639,2638,2708,2686,2310,2186,1947,1804,1530,2943,3537,3939,2166,1179,991,778,14499,3577,38751,17.7,101547,12760,175.1,48740,52807,69731,26176,446,820,0.404,0.225,0.182,0.114,0.041
"Jackson, AL",52838,41.4,11985,17117,8517,2108,52898,21,763,18,4194,7,1,54,67,180,28,12,52,23,59,3,113,242,26055,9.7,93,0,211,435,117,31108,8651,15,79,19055,20660,14,1339,15209,2709,1829,1811,1694,1295,1322,994,1262,1217,1667,2092,1977,795,327,249,112,13646,2541,35015,16.4,53227,-699,49.4,26139,27088,47937,1781,719,185,0.499,0.169,0.164,0.108,0.028
"Jefferson, AL",665027,37.1,154528,241601,90242,3435,662212,208,22614,1277,211945,7,45,1204,614,2830,388,319,1368,689,1912,162,1702,82165,300697,9.4,5389,106,11040,25867,3581,52860,104953,3523,5439,218641,248465,12,25488,170207,24355,17769,17561,16930,15287,14972,14079,13639,12258,22973,24684,29155,16851,9474,8368,9320,14927,23927,43312,16.5,658466,-3581,592.5,311813,346653,340213,276525,1740,9158,0.35,0.247,0.238,0.089,0.061
"Lamar, AL",14200,43.5,3227,4335,2590,1425,14438,9,351,1,215,11,1,19,19,47,28,2,15,6,18,0,18,0,5234,12.8,10,0,21,47,9,30319,2346,5,17,5308,5776,15.5,180,4207,1078,487,462,566,413,308,430,301,222,440,449,569,211,89,38,82,13893,932,31226,18.2,14564,-1340,24.1,7097,7467,12542,1643,24,4,0.504,0.193,0.13,0.096,0.029
"Lauderdale, AL",89599,40.4,19982,31783,15295,2329,88550,35,1480,144,12090,17,1,164,83,421,29,24,149,95,174,18,265,3242,42928,8.8,229,4,865,2078,114,29506,13180,293,626,30549,34229,15.5,2082,25669,3964,3554,2864,2506,2177,1951,2214,1836,1472,2409,3150,3983,2046,1026,617,689,15082,3807,39096,14.5,92709,4743,138.8,44379,48330,79228,9257,338,685,0.421,0.187,0.183,0.121,0.055
"Lawrence, AL",34106,40.6,7964,11397,4598,2603,34094,8,226,0,0,2,3,47,25,85,19,4,23,8,34,3,38,0,15380,11,46,0,215,465,26,31937,5419,73,63,12429,13010,14.5,574,9985,1193,887,1295,664,778,934,771,777,805,1273,1317,1652,806,221,156,58,14353,1258,36311,16.2,34339,-464,49.7,16791,17548,26420,3938,1953,42,0.528,0.176,0.135,0.107,0.029
"Lee, AL",135883,29.5,31591,65427,11977,3012,130669,40,1921,971,150616,13,7,249,115,472,62,34,150,125,187,23,223,5561,64873,8.2,617,6,2149,4064,209,33708,19907,1920,2021,36791,37869,21,4571,33692,7938,4237,3892,3294,3304,2488,2765,2167,2279,4123,5346,5373,3132,1566,1279,954,14404,4041,37836,20.7,140247,25155,230.8,69126,71121,97900,31901,445,3658,0.33,0.232,0.225,0.117,0.071
"Limestone, AL",78572,38.4,19859,29883,9376,2659,74076,21,750,138,25327,2,0,153,74,250,35,21,84,55,100,5,123,2059,37944,8.3,100,1,267,991,78,35201,11773,275,165,27176,26756,16.3,4591,22876,1988,1658,1448,1848,1705,1496,1433,1482,1359,2371,2464,2589,1909,994,906,464,14121,2358,46610,13.5,82782,17106,147.8,41910,40872,65112,10429,547,924,0.43,0.214,0.189,0.108,0.039
"Lowndes, AL",12293,40.6,2732,3540,1732,1631,12632,5,86,3,357,5,2,21,13,27,6,0,6,7,9,3,5,0,4673,15.4,11,0,24,24,6,34206,1953,24,18,4131,4851,17.9,87,3071,943,416,390,325,299,379,193,181,225,295,389,331,262,25,36,92,12119,1131,28100,28.8,11299,-2174,15.8,5289,6010,2841,8310,25,14,0.595,0.163,0.105,0.099,0.031
"Macon, AL",21789,36.3,4420,8287,3400,1882,22304,3,102,5,958,1,0,12,7,49,3,5,11,7,15,3,24,0,8926,13.2,222,5,503,636,71,31391,2925,133,345,6160,7210,13.7,232,5051,1410,865,788,874,522,328,252,429,355,557,696,646,275,85,95,56,11883,1728,26328,38.6,21452,-2653,35.2,9826,11626,3267,17729,29,76,0.48,0.198,0.127,0.124,0.053
"Madison, AL",327744,37.3,79490,122911,41181,2677,314047,93,6458,2137,271100,4,1,601,293,1311,147,139,485,437,1319,91,903,20131,168778,7.3,1557,18,3477,9527,1361,52783,51456,2577,2633,103186,110454,14.7,15404,89150,8767,5725,6194,6821,6754,5957,6307,5066,5119,10184,11635,16049,11602,6926,6963,4477,14257,7640,57327,10.3,334811,58111,417.7,164320,170491,221445,80376,2551,8265,0.362,0.26,0.207,0.096,0.06
"Marengo, AL",20943,40.4,5191,6566,3234,1676,21210,11,414,32,3225,22,7,30,22,102,20,12,28,18,23,3,62,1021,7865,12.4,116,4,154,564,23,34311,4530,55,88,6965,7937,13.1,352,5787,1701,789,638,638,421,587,474,536,440,433,570,538,291,326,100,69,13111,1642,31867,24.9,21027,-1512,21.5,9913,11114,9607,10872,34,53,0.539,0.212,0.118,0.079,0.024
"Marion, AL",29116,42.8,6665,9734,5403,2013,29415,16,631,7,660,12,3,24,42,94,39,5,47,13,28,0,67,0,11479,13.5,58,0,158,398,36,32509,5070,0,39,11077,11407,14.9,632,8676,1663,1245,1414,1084,832,849,511,639,618,1165,1317,817,568,128,117,114,13784,1725,32317,21.2,30776,-438,41.5,15293,15483,28509,1184,101,54,0.529,0.192,0.139,0.089,0.025
"Marshall, AL",90399,38.2,23259,31685,13172,3707,87925,38,1526,53,7539,2,3,127,125,441,70,29,149,73,133,9,194,2297,40462,8.5,256,2,871,2153,156,32758,16245,109,301,31127,32672,17.1,11238,25328,3868,3047,2185,2351,2225,1906,1924,1686,1170,2628,3333,3108,1642,933,473,594,13060,3429,37506,19.1,93019,10788,164.4,45843,47176,78060,1494,706,478,0.495,0.206,0.151,0.098,0.032
"Mobile, AL",411721,36.6,103581,146325,51499,3197,405331,126,5957,1026,125842,36,33,839,356,1554,340,140,654,429,887,95,740,24274,186352,10.2,1912,65,5089,12717,1764,39741,64066,1468,2209,131731,147177,15.2,9936,108393,18364,11602,10548,9532,9690,9107,8161,8192,7166,13779,14328,16250,8628,4169,2951,3190,14058,26085,39828,18.7,412992,13149,335.9,198374,214618,243904,142992,3681,7561,0.452,0.215,0.189,0.077,0.046
"Monroe, AL",22389,40.1,5841,7139,3428,1792,22790,10,330,1,255,30,7,15,21,88,16,10,32,14,20,3,30,0,7981,17.1,121,2,195,433,47,37090,4214,41,23,7878,8757,14.2,220,6410,1513,1084,681,715,791,650,304,456,321,590,746,884,397,130,189,51,13483,1448,30920,23.4,23068,-1256,22.5,11109,11959,12621,9614,260,67,0.521,0.174,0.158,0.099,0.029
"Montgomery, AL",224119,34.9,56167,88416,27243,1948,224369,70,4582,671,58229,11,16,394,179,948,126,106,446,250,635,63,676,27075,103278,9.3,953,23,3771,8704,1010,44875,31307,1252,1495,70949,80184,12.5,8314,57876,8505,7019,5229,5694,5307,4783,5633,4156,3949,7157,8109,10146,5581,3096,2584,2641,13425,12498,41084,19.9,229363,5853,292.5,109167,120196,88099,125477,589,4821,0.394,0.209,0.176,0.127,0.073
"Morgan, AL",117293,39,28624,41139,16820,2861,115197,37,1558,165,26374,6,6,216,195,517,73,35,183,99,210,12,345,3632,55851,9.6,345,6,1320,3492,158,42892,19781,312,318,40813,42630,14.5,9156,33135,4075,2959,3322,3327,2736,2590,2682,2380,2348,3533,4750,5029,3106,1359,1284,720,14433,2985,40317,15.9,119490,8426,206.3,58886,60604,92585,14185,1042,691,0.446,0.197,0.183,0.114,0.045
"Perry, AL",10623,37.2,2553,3607,1600,1599,10689,3,147,0,0,3,2,11,7,34,3,2,8,4,5,3,14,0,3551,16.3,82,1,104,212,23,25936,1956,19,14,3206,3853,14.9,114,2663,731,456,663,332,279,337,388,166,148,220,351,261,50,59,10,38,12130,1193,24351,31,10591,-1270,14.7,4980,5611,3142,7276,17,30,0.515,0.33,0.088,0.04,0.005
"Pickens, AL",19218,41.9,4601,6096,3274,1876,19528,10,309,4,333,19,3,26,20,63,20,2,20,5,11,1,23,0,7787,11.3,58,2,101,149,15,31466,3032,53,84,6735,7499,15.8,313,5409,1464,1105,776,596,482,459,311,439,277,389,696,723,346,104,53,6,12368,1423,29677,28,19746,-1203,22.4,9428,10318,11027,8211,28,36,0.441,0.258,0.138,0.113,0.025
"Pike, AL",30461,31.4,6682,14461,3957,2168,30136,12,840,88,7470,10,1,52,30,138,31,9,50,26,34,4,67,525,15635,7.8,81,2,290,801,42,36736,4428,295,290,8703,10044,15.6,730,7759,2565,1166,1098,1060,867,888,596,489,283,881,877,801,485,342,232,232,12314,2212,31229,27.6,32899,3294,48.9,15700,17199,18887,12054,192,654,0.46,0.201,0.147,0.129,0.032
"Randolph, AL",22577,41.2,5473,7125,3858,2423,22504,10,337,0,0,17,3,25,23,75,20,5,26,16,21,5,41,0,9050,12.5,35,0,93,318,16,29880,3856,22,97,8048,8619,14.6,649,6357,778,786,653,528,740,424,423,329,396,786,684,591,275,206,175,60,13567,899,33869,21.1,22913,533,39.5,11104,11809,17280,4607,84,55,0.516,0.207,0.128,0.093,0.029
"Russell, AL",50846,35.8,13499,19061,7137,2186,50029,16,576,934,120745,11,5,95,40,157,26,6,76,40,48,6,74,1145,21311,10.5,187,2,454,762,205,33438,9467,36,267,17116,19237,14.9,1946,14085,2950,1806,1811,1955,1541,1696,1236,1033,1001,1538,1811,1752,813,252,216,89,12924,3608,33537,19.9,52947,3191,82.6,25287,27660,27591,22135,219,236,0.474,0.27,0.123,0.079,0.028
"Shelby, AL",192503,36.9,49962,72027,17778,3710,182996,66,2450,473,78380,15,33,525,172,673,85,105,407,215,595,61,420,13366,98375,7,269,3,899,2708,219,47411,27194,686,1198,62232,64156,12.4,11567,53733,2509,1898,2319,3139,2806,3231,3192,3313,2800,5956,7436,10092,7932,4641,4397,4118,16614,2331,65408,6.9,195085,51792,248.5,95557,99528,156371,20732,553,3726,0.344,0.263,0.23,0.094,0.05
"Sumter, AL",12853,37.7,3068,4909,1914,1442,13267,5,170,5,1200,8,4,16,10,45,13,5,10,8,9,2,22,169,4594,14.2,11,0,20,55,3,29213,2332,26,38,4025,4970,14.8,86,3385,1343,798,454,423,346,319,238,318,207,154,127,277,175,48,69,38,10662,1653,22857,35.1,13763,-1035,15.2,6261,7502,3304,10316,11,33,0.591,0.16,0.139,0.075,0.014
"Talladega, AL",80242,39.3,19285,28320,11439,2325,80190,17,853,116,10205,3,6,98,87,299,36,22,95,49,70,9,156,5000,36232,11.5,338,1,994,2754,205,42310,12777,145,188,28457,29571,11,1671,22191,4417,2447,2733,1881,1931,1626,1590,1776,1255,2565,2837,2769,1293,858,472,265,13621,4101,37260,18.9,82291,1970,111.7,40077,42214,53079,26055,264,339,0.51,0.2,0.136,0.095,0.038
"Tallapoosa, AL",41008,42.4,9219,13033,7459,2476,40778,9,573,9,1857,10,6,97,37,154,18,14,46,31,56,3,90,5053,17535,12.7,275,4,328,1125,72,29584,6481,177,107,14304,15720,13.1,1042,11762,1524,1541,1427,1152,1108,992,755,871,713,1098,1622,1510,701,369,329,271,14540,1507,35702,17.8,41616,141,58.1,20190,21426,28838,11083,121,197,0.528,0.15,0.146,0.114,0.042
"Tuscaloosa, AL",184035,31.2,41786,87233,20332,2470,178754,57,2602,598,86412,27,18,447,150,739,128,62,260,183,366,32,393,8839,88176,8.3,852,15,2463,5769,611,43389,27809,1842,2489,55078,58942,15.7,5949,46304,10527,5131,3980,4803,3447,3507,3713,3320,3158,5149,6256,7261,4303,1914,1509,1707,14320,5069,41842,19.9,194656,29781,147.3,94400,100256,126611,57611,526,2306,0.375,0.25,0.204,0.106,0.044
"Walker, AL",68742,41.2,15107,21757,11479,2513,68880,24,1004,15,2944,24,16,88,52,296,46,15,105,38,102,5,169,5614,27712,10.6,157,2,705,2256,200,25768,11071,153,109,24980,27098,12.6,1307,18741,2793,2514,2311,2200,1879,1773,1486,1487,915,2257,2710,2949,1445,632,322,270,14338,3043,36582,16,67023,-3690,84.7,32668,34355,60587,3928,251,195,0.551,0.204,0.108,0.09,0.024
"Washington, AL",17069,39.7,4484,5560,2587,2114,17212,5,170,1,110,24,7,23,13,42,12,1,10,3,18,0,19,0,6833,13.3,88,1,48,148,12,44271,3487,47,0,6086,6621,16.1,151,4918,993,678,543,514,337,271,170,177,196,771,688,658,415,107,63,53,12978,696,36946,19.3,17581,-516,16.3,8656,8925,11455,4380,1411,20,0.537,0.218,0.153,0.064,0.011
"Wilcox, AL",12384,38.8,3150,3534,1721,1382,12552,3,156,0,0,17,1,18,12,48,11,7,8,9,9,2,21,0,3341,21.7,20,0,18,47,5,38764,2163,36,67,3895,4776,18.7,72,3110,1058,506,481,410,322,171,178,120,116,312,220,157,231,40,29,15,12254,1185,22611,34.6,11670,-1513,13.1,5518,6152,3110,8465,14,4,0.544,0.216,0.121,0.083,0.023
"Winston, AL",23997,43.1,5299,7593,3997,2588,24190,12,359,0,0,8,3,29,55,102,29,4,37,10,20,0,41,336,9161,15,54,1,147,461,26,30902,4396,27,30,8969,9107,12.8,639,7074,1098,1160,1033,881,538,526,434,520,345,805,902,549,203,119,66,197,12867,1388,31062,24.9,24484,-359,39.9,12021,12463,23237,115,163,60,0.561,0.18,0.119,0.09,0.027
"Apache, AZ",70591,32.4,22660,23146,7625,194,69341,6,117,48,9304,6,8,49,12,99,11,11,16,15,32,10,54,200,23276,16.4,34,0,134,226,15,34612,13357,76,236,21796,22386,13.4,4113,16331,4108,1834,1615,1191,1046,1246,1013,966,666,1087,1308,1532,665,221,163,186,11655,3854,28956,35.4,71518,2095,6.4,35678,35840,14568,175,52154,203,0.436,0.376,0.053,0.664,0.288
"Cochise, AZ",129518,39.7,30250,43280,23078,1907,127613,22,1015,347,51296,8,20,253,54,430,76,36,113,122,210,42,275,4588,64434,8.4,669,6,889,2511,340,41706,20670,415,538,44799,45502,19.9,42543,33653,4497,3131,3013,3045,2715,3286,2815,2502,2404,3644,4900,5448,3095,1704,1303,910,13640,5430,43786,16.2,131346,13591,21.3,66977,64369,76805,5465,1589,2525,0.069,0.565,0.397,0.392,0.335
